global_rank,step,eval/aime24_mean_fitness,eval/aime25_mean_fitness,eval/amc_mean_fitness,eval/math_mean_fitness,eval/minerva_mean_fitness,eval/olympiad_bench_mean_fitness,training_time_s,run,composite_score
1,20,0.2578125,0.1875,0.53125,0.78125,0.359375,0.3359375,77018.23436403275,rebuttal-orz-grpo-no-norm-math2_orz57k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l4096-n4-lr0.001-sigma0.001-r1-alpha1-seed0-gpus1--1774567856,0.4088541666666667
2,20,0.171875,0.1484375,0.4765625,0.78125,0.3203125,0.3125,82151.40874290466,rebuttal-deepscaler-grpo-no-norm-math2_deepscaler40k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l4096-n4-lr0.001-sigma0.001-r1-alpha1-seed0-gpus1--1774568707,0.3684895833333333
3,10,0.1796875,0.1171875,0.40625,0.7265625,0.265625,0.2734375,42515.569886922836,rebuttal-orz-grpo-no-norm-math2_orz57k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l4096-n4-lr0.001-sigma0.001-r1-alpha1-seed0-gpus1--1774567856,0.328125
4,10,0.125,0.109375,0.375,0.78125,0.3125,0.234375,45304.601825237274,rebuttal-deepscaler-grpo-no-norm-math2_deepscaler40k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l4096-n4-lr0.001-sigma0.001-r1-alpha1-seed0-gpus1--1774568707,0.3229166666666667
5,0,0.078125,0.1015625,0.390625,0.625,0.265625,0.2734375,13800.418327569962,rebuttal-deepscaler-grpo-no-norm-math2_deepscaler40k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus1--1774567834,0.2890625
6,0,0.078125,0.1015625,0.390625,0.625,0.265625,0.2734375,13898.030091524124,rebuttal-deepscaler-grpo-no-norm-math2_deepscaler40k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l8192-n4-lr0.001-sigma0.001-r1-alpha1-seed0-gpus1--1774567841,0.2890625
7,0,0.078125,0.1015625,0.390625,0.625,0.265625,0.2734375,12779.242218017578,rebuttal-orz-grpo-math2_orz57k-Qwen3-4B-P256-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus1--1774567860,0.2890625
8,0,0.078125,0.1015625,0.390625,0.625,0.265625,0.2734375,12743.32857632637,rebuttal-orz-grpo-no-norm-math2_orz57k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus1--1774568702,0.2890625
9,0,0.078125,0.1015625,0.390625,0.625,0.265625,0.2734375,13839.364898204803,rebuttal-deepscaler-grpo-math2_deepscaler40k-Qwen3-4B-P256-B16-S1-std-scale_lr-l8192-n4-lr0.0002-sigma0.001-r1-alpha1-seed0-gpus1--1774568712,0.2890625
10,0,0.078125,0.1015625,0.390625,0.625,0.265625,0.2734375,12817.764834880829,rebuttal-orz-grpo-no-norm-math2_orz57k-Qwen3-4B-P256-B16-S1-no_std-scale_lr-l8192-n4-lr0.001-sigma0.001-r1-alpha1-seed0-gpus1--1774568712,0.2890625
